species,strain,bp,mb,fragments,coverage
Chromobacterium_violaceum,Chromobacterium_violaceum_GCF_056171775.1_ASM5617177v1_genomic,4670887,4.670887,62278,1.9999841571847061
Xenorhabdus_nematophila,Xenorhabdus_nematophila_GCF_963863785.1_ena-yuan-GCF_000785665.1_genomic,4386383,4.386383,58485,1.999996352347709
Mycoplasma_hyopneumoniae,Mycoplasma_hyopneumoniae_GCF_051048255.1_ASM5104825v1_genomic,902784,0.902784,12037,1.9999800616758825
Bacillus_weihenstephanensis,Bacillus_weihenstephanensis_GCF_050209365.1_ASM5020936v1_genomic,5968817,5.968817,79584,1.9999943037288628
Klebsiella_oxytoca,Klebsiella_oxytoca_GCF_050916275.1_ASM5091627v1_genomic,5817807,5.817807,77570,1.9999804049876526
Bacillus_weihenstephanensis,Bacillus_weihenstephanensis_GCF_050210445.1_ASM5021044v1_genomic,5911531,5.911531,78820,1.9999895120231967
Pseudomonas_cichorii,Pseudomonas_cichorii_GCF_044499985.1_ASM4449998v1_genomic,5986012,5.986012,79813,1.999987637846366
Pseudomonas_cichorii,Pseudomonas_cichorii_GCF_055392515.1_ASM5539251v1_genomic,5918927,5.918927,78919,1.999999324201836
Klebsiella_oxytoca,Klebsiella_oxytoca_GCF_051549625.1_ASM5154962v1_genomic,6571399,6.571399,87618,1.9999850868894127
Streptomyces_griseus,Streptomyces_griseus_GCF_045162805.1_ASM4516280v1_genomic,8537117,8.537117,113828,1.9999960173908826
Myxococcus_xanthus,Myxococcus_xanthus_GCF_025739275.1_ASM2573927v1_genomic,9253193,9.253193,123375,1.99998530237076
Mycoplasma_hyopneumoniae,Mycoplasma_hyopneumoniae_GCF_051048245.1_ASM5104824v1_genomic,921013,0.921013,12280,1.9999717702138842
Myxococcus_xanthus,Myxococcus_xanthus_GCF_052779095.1_ASM5277909v1_genomic,9346278,9.346278,124617,1.9999993580332192
Streptomyces_griseus,Streptomyces_griseus_GCF_045209855.1_ASM4520985v1_genomic,8315838,8.315838,110877,1.9999848481896834
Acetobacter_pasteurianus,Acetobacter_pasteurianus_GCF_040208455.1_GHA7.1_genomic,2927634,2.927634,39035,1.9999938516904776
Acetobacter_pasteurianus,Acetobacter_pasteurianus_GCF_053762625.2_ASM5376262v2_genomic,3456862,3.456862,46091,1.9999785933022494
Mycobacterium_abscessus,Mycobacterium_abscessus_GCF_051057325.1_ASM5105732v1_genomic,4936947,4.936947,65825,1.9999708321762417
Mycobacterium_abscessus,Mycobacterium_abscessus_GCF_054926105.1_ASM5492610v1_genomic,4989215,4.989215,66522,1.9999739437967696
Methanosarcina_mazei,Methanosarcina_mazei_GCF_049677325.1_ASM4967732v1_genomic,4221101,4.221101,56281,1.9999876809391672
Methanosarcina_mazei,Methanosarcina_mazei_GCF_048285915.1_ASM4828591v1_genomic,4076904,4.076904,54358,1.9999735093100057
Bacillus_subtilis,Bacillus_subtilis_GCF_055378645.1_ASM5537864v1_genomic,4184065,4.184065,55787,1.9999808798381478
Bacillus_subtilis,Bacillus_subtilis_GCF_055378935.1_ASM5537893v1_genomic,4191244,4.191244,55883,1.9999909334794157
Erysipelothrix_rhusiopathiae,Erysipelothrix_rhusiopathiae_GCF_049345125.1_E.rhusio147_24S01949_genomic,1918116,1.918116,25574,1.9999311824728014
Erysipelothrix_rhusiopathiae,Erysipelothrix_rhusiopathiae_GCF_051549605.1_ASM5154960v1_genomic,1780802,1.780802,23744,1.9999977538210312
Pseudomonas_monteilii,Pseudomonas_monteilii_GCF_050989785.1_ASM5098978v1_genomic,5724993,5.724993,76333,1.9999937117827045
Pseudomonas_monteilii,Pseudomonas_monteilii_GCF_037099735.1_ASM3709973v1_genomic,6130057,6.130057,81734,1.9999977161713178
Clostridium_kluyveri,Clostridium_kluyveri_GCF_001902295.1_ASM190229v1_genomic,4512934,4.512934,60172,1.9999849321971028
Leishmania_donovani,Leishmania_donovani_GCA_963920605.1_Parent1_genomic,31196456,31.196456,415952,1.9999964098486058
Leishmania_donovani,Leishmania_donovani_GCF_000227135.1_ASM22713v2_genomic,32444968,32.444968,432599,1.9999973493578418
Clostridium_kluyveri,Clostridium_kluyveri_GCF_000016505.1_ASM1650v1_genomic,4023800,4.0238,53650,1.9999751478701724
Sorangium_cellulosum,Sorangium_cellulosum_GCF_050994875.1_ASM5099487v1_genomic,12860542,12.860542,171473,1.9999895805324535
Trichomonas_vaginalis,Trichomonas_vaginalis_GCA_054049055.1_TV-THS1.1_genomic,185424976,185.424976,2472333,1.9999999892139666
Trichomonas_vaginalis,Trichomonas_vaginalis_GCF_026262505.1_NYU_TvagG3_2_genomic,181466644,181.466644,2419555,1.9999997905951246
Sorangium_cellulosum,Sorangium_cellulosum_GCF_004135755.1_ASM413575v1_genomic,14598830,14.59883,194651,1.9999993150136004
Mesorhizobium_ciceri,Mesorhizobium_ciceri_GCF_048822095.1_ASM4882209v1_genomic,6242345,6.242345,83231,1.9999935921516674
Mesorhizobium_ciceri,Mesorhizobium_ciceri_GCF_044005695.1_ASM4400569v1_genomic,6851558,6.851558,91354,1.9999976647647149
Capnocytophaga_canimorsus,Capnocytophaga_canimorsus_GCF_045111175.1_ASM4511117v1_genomic,2438438,2.438438,32512,1.9999688325067113
Plasmodium_vivax,Plasmodium_vivax_GCF_000002415.2_ASM241v2_genomic,27013691,27.013691,360182,1.9999969645021851
Capnocytophaga_canimorsus,Capnocytophaga_canimorsus_GCF_044986275.1_ASM4498627v1_genomic,2718701,2.718701,36249,1.9999808732184967
Plasmodium_vivax,Plasmodium_vivax_GCA_040114635.1_PvMHC087_genomic,29195075,29.195075,389267,1.9999965747647506
Mycobacterium_kansasii,Mycobacterium_kansasii_GCF_050646645.1_HU_Kansasii_2024_1_genomic,6432395,6.432395,85765,1.9999937814764175
Mycobacterium_kansasii,Mycobacterium_kansasii_GCF_055794405.1_ASM5579440v1_genomic,6510324,6.510324,86804,1.999992627095057
Cellulophaga_lytica,Cellulophaga_lytica_GCF_049820655.1_ASM4982065v1_genomic,3834376,3.834376,51125,1.999999478402744
Cellulophaga_lytica,Cellulophaga_lytica_GCF_055808795.1_ASM5580879v1_genomic,3849314,3.849314,51324,1.9999927259766286
Bacillus_anthracis,Bacillus_anthracis_GCF_053895455.1_ASM5389545v1_genomic,5216568,5.216568,69554,1.9999930989110082
Bacillus_anthracis,Bacillus_anthracis_GCF_055393905.1_ASM5539390v1_genomic,5228299,5.228299,69710,1.9999812558539594
Haemophilus_parasuis,Haemophilus_parasuis_GCF_048551495.1_ASM4855149v2_genomic,2318230,2.31823,30909,1.9999525500058235
Haemophilus_parasuis,Haemophilus_parasuis_GCF_048551515.1_ASM4855151v2_genomic,2441866,2.441866,32558,1.9999868952677993
Aeropyrum_pernix,Aeropyrum_pernix_GCF_000011125.1_ASM1112v1_genomic,1669696,1.669696,22262,1.9999449001494882
Brucella_suis,Brucella_suis_GCF_050496365.1_ASM5049636v1_genomic,3315175,3.315175,44202,1.999984917839933
Brucella_suis,Brucella_suis_GCF_038420185.1_ASM3842018v1_genomic,3315359,3.315359,44204,1.9999644080776773
Flavobacterium_columnare,Flavobacterium_columnare_GCF_052422525.1_ASM5242252v1_genomic,3331151,3.331151,44415,1.999984389779989
Flavobacterium_columnare,Flavobacterium_columnare_GCF_052422715.1_ASM5242271v1_genomic,3395032,3.395032,45267,1.999995876327528
Pseudomonas_stutzeri,Pseudomonas_stutzeri_GCF_051307005.1_ASM5130700v1_genomic,4538010,4.53801,60506,1.9999735566911487
Pseudomonas_stutzeri,Pseudomonas_stutzeri_GCF_051028275.1_ASM5102827v1_genomic,4292477,4.292477,57233,1.9999990681371151
Brucella_pinnipedialis,Brucella_pinnipedialis_GCF_015624465.1_ASM1562446v1_genomic,3312423,3.312423,44165,1.9999710181942343
Brucella_pinnipedialis,Brucella_pinnipedialis_GCF_000221005.1_ASM22100v1_genomic,3399268,3.399268,45323,1.9999747004355055
Rhodococcus_erythropolis,Rhodococcus_erythropolis_GCF_054130455.1_ASM5413045v1_genomic,6366202,6.366202,84882,1.9999836637291748
Rhodococcus_erythropolis,Rhodococcus_erythropolis_GCF_051615655.1_ASM5161565v1_genomic,6293424,6.293424,83912,1.9999923729912366
Clostridium_saccharobutylicum,Clostridium_saccharobutylicum_GCF_014231195.1_ASM1423119v1_genomic,4994401,4.994401,66592,1.9999995995515778
Clostridium_saccharobutylicum,Clostridium_saccharobutylicum_GCF_014231185.1_ASM1423118v1_genomic,4990675,4.990675,66542,1.9999899813151527
Psychrobacter_cryohalolentis,Psychrobacter_cryohalolentis_GCF_904845985.1_ASM90484598v1_genomic,3036174,3.036174,40482,1.9999841906293907
Psychrobacter_cryohalolentis,Psychrobacter_cryohalolentis_GCF_977564885.1_MarMAG_017998_genomic,3121716,3.121716,41622,1.999957715564132
Raoultella_ornithinolytica,Raoultella_ornithinolytica_GCF_051306995.1_ASM5130699v1_genomic,6450894,6.450894,86011,1.9999786076162467
Raoultella_ornithinolytica,Raoultella_ornithinolytica_GCF_051124745.1_ASM5112474v1_genomic,6395314,6.395314,85270,1.9999799853455202
Coxiella_burnetii,Coxiella_burnetii_GCF_977964105.1_15QC1194_genomic,2047941,2.047941,27305,1.9999355450181426
Coxiella_burnetii,Coxiella_burnetii_GCF_977964135.1_22QC1335_genomic,2031162,2.031162,27082,1.9999881841034837
Mycobacterium_tuberculosis,Mycobacterium_tuberculosis_GCF_982191705.1_A2018772_genomic,4410965,4.410965,58812,1.9999705279910405
Mycobacterium_tuberculosis,Mycobacterium_tuberculosis_GCF_982191695.1_H37Rv_CN_genomic,4415456,4.415456,58872,1.9999746345564309
Halococcus_morrhuae,Halococcus_morrhuae_GCF_052043925.1_ASM5204392v1_genomic,3048131,3.048131,40641,1.999963256172389
Bdellovibrio_bacteriovorus,Bdellovibrio_bacteriovorus_GCF_041900585.1_ASM4190058v1_genomic,4085572,4.085572,54474,1.9999892303941773
Bdellovibrio_bacteriovorus,Bdellovibrio_bacteriovorus_GCF_041888755.1_ASM4188875v1_genomic,3737084,3.737084,49827,1.9999684245791638
Streptomyces_hygroscopicus,Streptomyces_hygroscopicus_GCF_037126205.1_ASM3712620v1_genomic,9682870,9.68287,129104,1.9999855414768555
Streptomyces_hygroscopicus,Streptomyces_hygroscopicus_GCF_055569865.1_ASM5556986v1_genomic,10270222,10.270222,136936,1.9999957157693378
Brucella_melitensis,Brucella_melitensis_GCF_055388685.1_ASM5538868v1_genomic,3294916,3.294916,43932,1.9999902880680418
Brucella_melitensis,Brucella_melitensis_GCF_055389475.1_ASM5538947v1_genomic,3288832,3.288832,43851,1.9999957431696116
Burkholderia_vietnamiensis,Burkholderia_vietnamiensis_GCF_056055715.1_ASM5605571v1_genomic,6945072,6.945072,92600,1.9999792658737015
Burkholderia_vietnamiensis,Burkholderia_vietnamiensis_GCF_056313865.1_ASM5631386v1_genomic,6618244,6.618244,88243,1.999994258295705
Morganella_morganii,Morganella_morganii_GCF_050908095.1_ASM5090809v1_genomic,4155665,4.155665,55408,1.9999687174014267
Morganella_morganii,Morganella_morganii_GCF_051046895.1_ASM5104689v1_genomic,3964674,3.964674,52862,1.9999878930777157
Streptococcus_uberis,Streptococcus_uberis_GCF_054785815.1_ASM5478581v1_genomic,2073926,2.073926,27652,1.9999749267813798
Micromonas_commoda,Micromonas_commoda_GCA_977930595.1_ERR599146_metabat2_28_concoct_121_genomic,15620060,15.62006,208267,1.9999955185831553
Streptococcus_uberis,Streptococcus_uberis_GCF_054785875.1_ASM5478587v1_genomic,2047074,2.047074,27294,1.9999765518979773
Clostridium_beijerinckii,Clostridium_beijerinckii_GCF_036699995.1_BR_422_genomic,5552291,5.552291,74030,1.9999852313216293
Clostridium_beijerinckii,Clostridium_beijerinckii_GCF_029715615.1_ASM2971561v1_genomic,5652128,5.652128,75361,1.999981246001506
Micromonas_commoda,Micromonas_commoda_GCA_977109175.1_ucMicComm1.1_genomic,21428823,21.428823,285717,1.9999955200525945
Bacillus_paralicheniformis,Bacillus_paralicheniformis_GCF_979930925.1_SRL656_genomic,4297526,4.297526,57300,1.9999879000150318
Bacillus_paralicheniformis,Bacillus_paralicheniformis_GCF_052141695.1_ASM5214169v1_genomic,4617019,4.617019,61560,1.999991769581195
Natrialba_magadii,Natrialba_magadii_GCF_000337875.1_ASM33787v1_genomic,4416299,4.416299,58883,1.9999664877763033
Burkholderia_multivorans,Burkholderia_multivorans_GCF_055234015.1_ASM5523401v1_genomic,6283722,6.283722,83782,1.9999770836456483
Burkholderia_multivorans,Burkholderia_multivorans_GCF_055229115.1_ASM5522911v1_genomic,6407186,6.407186,85429,1.9999965663553392
Granulibacter_bethesdensis,Granulibacter_bethesdensis_GCF_000576185.2_ASM57618v2_genomic,2742670,2.74267,36568,1.9999489548505653
Granulibacter_bethesdensis,Granulibacter_bethesdensis_GCF_000014285.2_ASM1428v2_genomic,2708434,2.708434,36112,1.9999748932408912
Borrelia_turicatae,Borrelia_turicatae_GCF_023035415.1_ASM2303541v1_genomic,1612777,1.612777,21503,1.9999355149534002
Borrelia_turicatae,Borrelia_turicatae_GCF_023035855.1_ASM2303585v1_genomic,1564967,1.564967,20866,1.9999782743022696
Picrophilus_oshimae,Picrophilus_oshimae_GCF_000008265.1_ASM826v1_genomic,1545895,1.545895,20611,1.999909437574997
Thermoplasma_acidophilum,Thermoplasma_acidophilum_GCF_000195915.1_ASM19591v1_genomic,1564906,1.564906,20865,1.9999603810069104
Agrobacterium_vitis,Agrobacterium_vitis_GCF_050500125.1_ASM5050012v1_genomic,5827573,5.827573,77700,1.9999749466887846
Agrobacterium_vitis,Agrobacterium_vitis_GCF_050500115.1_ASM5050011v1_genomic,5556320,5.55632,74084,1.9999928009905836
Acidithiobacillus_ferrooxidans,Acidithiobacillus_ferrooxidans_GCA_054642295.1_ASM5464229v1_genomic,2988258,2.988258,39843,1.999977913553649
Acidithiobacillus_ferrooxidans,Acidithiobacillus_ferrooxidans_GCF_049532655.1_AFEATCC23270_v5.2_genomic,2956115,2.956115,39414,1.9999560233617433
Burkholderia_cepacia,Burkholderia_cepacia_GCF_050613135.1_ASM5061313v1_genomic,8235260,8.23526,109803,1.9999914999647856
Burkholderia_cepacia,Burkholderia_cepacia_GCF_050632355.1_ASM5063235v1_genomic,8544351,8.544351,113924,1.9999880622881714
Xanthomonas_oryzae,Xanthomonas_oryzae_GCF_048296645.2_A81_genomic,4886748,4.886748,65156,1.9999803550336543
Xanthomonas_oryzae,Xanthomonas_oryzae_GCF_048296665.2_A56_genomic,4876193,4.876193,65015,1.9999721093894356
Delftia_acidovorans,Delftia_acidovorans_GCF_976989065.1_ASM97698906v1_genomic,6873944,6.873944,91652,1.999987198033618
Delftia_acidovorans,Delftia_acidovorans_GCF_976989105.1_ASM97698910v1_genomic,6874004,6.874004,91653,1.9999915624139875
Paramecium_tetraurelia,Paramecium_tetraurelia_GCF_000141845.1_ASM14184v1_genomic,984602,0.984602,13128,1.9999959374447747
Rhizobium_etli,Rhizobium_etli_GCF_014198755.1_ASM1419875v1_genomic,6340002,6.340002,84533,1.9999914826525291
Paramecium_tetraurelia,Paramecium_tetraurelia_GCA_980654785.1_ptetraurelia_mac_51_v2.0_genomic,80557192,80.557192,1074095,1.9999983365855156
Rhizobium_etli,Rhizobium_etli_GCF_014198605.1_ASM1419860v1_genomic,6340321,6.340321,84537,1.9999854896936606
Yersinia_pseudotuberculosis,Yersinia_pseudotuberculosis_GCF_045865185.1_ASM4586518v1_genomic,4800666,4.800666,64008,1.9999725038150957
Yersinia_pseudotuberculosis,Yersinia_pseudotuberculosis_GCF_052377715.1_ASM5237771v1_genomic,4746393,4.746393,63285,1.9999924152930446
Agrobacterium_fabrum,Agrobacterium_fabrum_GCF_013318095.2_ASM1331809v2_genomic,5541398,5.541398,73885,1.9999916988456703
Agrobacterium_fabrum,Agrobacterium_fabrum_GCF_053521405.1_ASM5352140v1_genomic,5520847,5.520847,73611,1.9999920302084082
Yersinia_pestis,Yersinia_pestis_GCF_053834875.1_ASM5383487v1_genomic,4798651,4.798651,63982,1.9999995832161996
Yersinia_pestis,Yersinia_pestis_GCF_053834855.1_ASM5383485v1_genomic,4827085,4.827085,64361,1.9999958567126952
Nitrosopelagicus_brevis,Nitrosopelagicus_brevis_GCA_977643205.1_MarMAG_090129_genomic,1077160,1.07716,14362,1.9999814326562442
Nitrosopelagicus_brevis,Nitrosopelagicus_brevis_GCA_977637485.1_MarMAG_090128_genomic,768837,0.768837,10251,1.99996878402054
Pandoraea_pnomenusa,Pandoraea_pnomenusa_GCF_017848955.1_ASM1784895v1_genomic,5075109,5.075109,67668,1.9999964532781462
Pandoraea_pnomenusa,Pandoraea_pnomenusa_GCF_040391475.1_ASM4039147v1_genomic,5576583,5.576583,74354,1.9999881647955389
Zymomonas_mobilis,Zymomonas_mobilis_GCF_047726505.1_ASM4772650v1_genomic,2039576,2.039576,27194,1.9999745045048578
Zymomonas_mobilis,Zymomonas_mobilis_GCF_000303025.2_Zymomonas_mobilis_ZM401_genomic,2200311,2.200311,29337,1.999967277353065
Pseudomonas_savastanoi,Pseudomonas_savastanoi_GCF_054721025.1_ASM5472102v1_genomic,6182139,6.182139,82428,1.999987383007726
Korarchaeum_cryptofilum,Korarchaeum_cryptofilum_GCF_003948265.1_ASM394826v1_genomic,1769550,1.76955,23594,2.0
Pseudomonas_savastanoi,Pseudomonas_savastanoi_GCF_041378945.2_Pseudomonas_savastanoi_pathovar_phaseolicola_HB10Y_genomic,6085631,6.085631,81141,1.9999815959922644
Euglena_gracilis,Euglena_gracilis_GCA_001638955.2_Euglena_mito_Newbler_genomic,41178302,41.178302,549044,1.9999999028614632
Tsukamurella_paurometabola,Tsukamurella_paurometabola_GCF_020735845.1_ASM2073584v1_genomic,4703056,4.703056,62707,1.9999868170823396
Tsukamurella_paurometabola,Tsukamurella_paurometabola_GCF_018335505.1_ASM1833550v1_genomic,5203618,5.203618,69381,1.9999834730374135
Naegleria_fowleri,Naegleria_fowleri_GCA_027563075.1_ASM2756307v1_genomic,27275754,27.275754,363676,1.9999960404394321
Naegleria_fowleri,Naegleria_fowleri_GCF_008403515.1_ASM840351v1_genomic,29549973,29.549973,393999,1.9999967512660672
Paramecium_bursaria,Paramecium_bursaria_GCA_043974915.1_ASM4397491v1_genomic,26817106,26.817106,357561,1.9999976880428485
Haloferax_volcanii,Haloferax_volcanii_GCF_050563475.1_ASM5056347v1_genomic,3773977,3.773977,50319,1.9999724428633243
Paramecium_bursaria,Paramecium_bursaria_GCA_043974975.1_Pb_DK2_H2_genomic,26819238,26.819238,357589,1.9999953018799415
Haloferax_volcanii,Haloferax_volcanii_GCF_045111245.1_ASM4511124v1_genomic,3662869,3.662869,48838,1.9999896256186067
Clostridium_saccharoperbutylacetonicum,Clostridium_saccharoperbutylacetonicum_GCF_054570755.1_ASM5457075v1_genomic,6407544,6.407544,85433,1.9999784628868722
Clostridium_saccharoperbutylacetonicum,Clostridium_saccharoperbutylacetonicum_GCF_013297165.1_ASM1329716v1_genomic,6668426,6.668426,88912,1.9999922020578769
Perkinsus_marinus,Perkinsus_marinus_GCF_000006405.1_JCVI_PMG_1.0_genomic,86605074,86.605074,1154734,1.9999994457599564
Thalassiosira_oceanica,Thalassiosira_oceanica_GCA_019693575.1_ASM1969357v1_genomic,83512925,83.512925,1113505,1.9999988025805586
Mycobacterium_bovis,Mycobacterium_bovis_GCF_046097865.1_ASM4609786v1_genomic,4310771,4.310771,57476,1.9999670592569172
Dictyostelium_discoideum,Dictyostelium_discoideum_GCF_000004695.1_dicty_2.7_genomic,34204973,34.204973,456066,1.9999986551663116
Mycobacterium_bovis,Mycobacterium_bovis_GCF_037623675.1_ASM3762367v1_genomic,4998182,4.998182,66642,1.9999871953442272
Dictyostelium_discoideum,Dictyostelium_discoideum_GCA_054859355.1_ASM5485935v1_genomic,35852600,35.8526,478034,1.999997210802006
Pseudoxanthomonas_suwonensis,Pseudoxanthomonas_suwonensis_GCF_000972865.1_ASM97286v1_genomic,3891720,3.89172,51889,1.9999768739786008
Phaeodactylum_tricornutum,Phaeodactylum_tricornutum_GCF_000150955.2_ASM15095v2_genomic,27450724,27.450724,366009,1.999996429966656
Pseudoxanthomonas_suwonensis,Pseudoxanthomonas_suwonensis_GCF_977013995.1_S37_genomic,3380324,3.380324,45070,1.9999562172146812
Phaeodactylum_tricornutum,Phaeodactylum_tricornutum_GCA_055434865.1_ASM5543486v1_genomic,30536849,30.536849,407157,1.9999951533964753
Corynebacterium_jeikeium,Corynebacterium_jeikeium_GCF_965135885.1_CIP103337T_genomic,2446617,2.446617,32621,1.9999656668779788
Corynebacterium_jeikeium,Corynebacterium_jeikeium_GCF_028609885.1_ASM2860988v1_genomic,2524840,2.52484,33664,1.9999683148239096
Pseudomonas_aeruginosa,Pseudomonas_aeruginosa_GCF_056236775.1_ASM5623677v1_genomic,6935324,6.935324,92470,1.999978659973204
Pseudomonas_aeruginosa,Pseudomonas_aeruginosa_GCF_056008605.1_ASM5600860v1_genomic,6763667,6.763667,90182,1.9999949731410491
Methanococcus_voltae,Methanococcus_voltae_GCF_024807035.1_ASM2480703v1_genomic,1780593,1.780593,23741,1.9999797820164407
Methanococcus_voltae,Methanococcus_voltae_GCF_024807655.1_ASM2480765v1_genomic,1857959,1.857959,24772,1.999936489448906
Streptomyces_collinus,Streptomyces_collinus_GCF_055657125.1_ASM5565712v1_genomic,8607406,8.607406,114765,1.9999927969007154
Streptomyces_fulvissimus,Streptomyces_fulvissimus_GCF_045040115.1_ASM4504011v1_genomic,8034003,8.034003,107120,1.9999992531742894
Neisseria_meningitidis,Neisseria_meningitidis_GCF_052162055.1_ASM5216205v1_genomic,2167623,2.167623,28901,1.9999557118557978
Streptomyces_fulvissimus,Streptomyces_fulvissimus_GCF_045208555.1_ASM4520855v1_genomic,8172558,8.172558,108967,1.9999919241931352
Neisseria_meningitidis,Neisseria_meningitidis_GCF_052162045.1_ASM5216204v1_genomic,2162319,2.162319,28830,1.9999361796293702
Desulfovibrio_vulgaris,Desulfovibrio_vulgaris_GCF_902167245.1_DSV_KAUST_v1_genomic,3728263,3.728263,49710,1.999993026243052
Desulfovibrio_vulgaris,Desulfovibrio_vulgaris_GCF_055112715.1_ASM5511271v1_genomic,3517217,3.517217,46896,1.9999903332663296
Tetrahymena_thermophila,Tetrahymena_thermophila_GCA_046463895.1_ASM4646389v1_genomic,103348000,103.348,1377973,1.9999995161977009
Methanoculleus_marisnigri,Methanoculleus_marisnigri_GCF_020855035.1_ASM2085503v1_genomic,2558312,2.558312,34110,1.99995153054045
Tetrahymena_thermophila,Tetrahymena_thermophila_GCF_000189635.1_JCVI-TTA1-2.2_genomic,103014375,103.014375,1373525,2.0
Methanoculleus_marisnigri,Methanoculleus_marisnigri_GCF_000015825.1_ASM1582v1_genomic,2478101,2.478101,33041,1.9999790161902198
Mycobacterium_gilvum,Mycobacterium_gilvum_GCF_052695285.1_ASM5269528v1_genomic,6127897,6.127897,81705,1.9999928197226553
Mycobacterium_gilvum,Mycobacterium_gilvum_GCF_052695305.1_ASM5269530v1_genomic,6014572,6.014572,80194,1.9999926844337386
Ralstonia_solanacearum,Ralstonia_solanacearum_GCF_050916425.1_AHR56_1.0_genomic,5475381,5.475381,73005,1.9999978083716914
Ralstonia_solanacearum,Ralstonia_solanacearum_GCF_049803945.1_NCSU_Rs45488_genomic,5501523,5.501523,73353,1.9999825502865298
Enterobacter_cloacae,Enterobacter_cloacae_GCF_047119245.1_Ecl_13047_lr_galaxy_genomic,5553166,5.553166,74042,1.9999942375214428
Enterobacter_cloacae,Enterobacter_cloacae_GCF_049600895.1_ASM4960089v1_genomic,5703619,5.703619,76048,1.9999933375633963
Clostridium_acetobutylicum,Clostridium_acetobutylicum_GCF_013410925.1_ASM1341092v1_genomic,4166409,4.166409,55552,1.9999956797328347
Clostridium_acetobutylicum,Clostridium_acetobutylicum_GCF_014230495.1_ASM1423049v1_genomic,4090764,4.090764,54543,1.9999809326570783
Ruminiclostridium_thermocellum,Ruminiclostridium_thermocellum_GCF_004803955.2_ASM480395v2_genomic,3971483,3.971483,52953,1.9999959712782354
Ruminiclostridium_thermocellum,Ruminiclostridium_thermocellum_GCF_003514585.1_ASM351458v1_genomic,3290694,3.290694,43875,1.9999580635574137
Acanthamoeba_polyphaga,Acanthamoeba_polyphaga_GCA_000826345.1_Acanthamoeba_polyphaga_genomic,120415301,120.415301,1605537,1.9999995681611924
Burkholderia_rhizoxinica,Burkholderia_rhizoxinica_GCF_037478045.1_ASM3747804v1_genomic,3533936,3.533936,47119,1.9999937746467396
Burkholderia_rhizoxinica,Burkholderia_rhizoxinica_GCF_037478065.1_ASM3747806v1_genomic,3802698,3.802698,50702,1.9999747547662212
Ketogulonicigenium_vulgare,Ketogulonicigenium_vulgare_GCF_028610225.1_ASM2861022v1_genomic,3293003,3.293003,43906,1.9999678105364618
Ketogulonicigenium_vulgare,Ketogulonicigenium_vulgare_GCF_001693655.1_ASM169365v1_genomic,3032522,3.032522,40433,1.9999690026980843
Acholeplasma_laidlawii,Acholeplasma_laidlawii_GCF_030166555.2_ASM3016655v2_genomic,1461114,1.461114,19481,1.9999466160751318
Acholeplasma_laidlawii,Acholeplasma_laidlawii_GCF_054956695.1_ASM5495669v1_genomic,1465932,1.465932,19545,1.9999222337734628
